predicate,object,location,time,duration,more
purchase,recliner,furniture_store,morning|noon|afternoon,15m30m,Yes
try out,mattress,furniture_store,evening,1h2h,Yes
walk around,shop,furniture_store,morning|noon|afternoon,15m30m,No
buy,bite,gas_station,morning|noon|afternoon|evening|nighttime,0m15m,Yes
buy,gas,gas_station,morning|noon|afternoon|evening|nighttime,0m15m,Yes
fill,car,gas_station,morning|noon|afternoon|evening|nighttime,0m15m,Yes
fill,gas_tank,gas_station,morning|noon|afternoon|evening|nighttime,0m15m,Yes
fill,gas_tank,gas_station,morning|noon|afternoon|evening|nighttime,0m15m,Yes
pump,gas,gas_station,morning|noon|afternoon|evening|nighttime,0m15m,Yes
pump,pump,gas_station,morning|noon|afternoon|evening|nighttime,0m15m,No
purchase,fuel,gas_station,morning|noon|afternoon|evening|nighttime,0m15m,Yes
purchase,gasoline,gas_station,morning|noon|afternoon|evening|nighttime,0m15m,Yes
sell,gasoline,gas_station,morning|afternoon|evening|nighttime,0m15m,No
build,house,general_contractor,morning|noon|afternoon,none,Yes
build,house,general_contractor,morning|noon|afternoon,2h,Yes
build,house,general_contractor,morning|noon|afternoon,2h,Yes
manage,building,general_contractor,morning|noon|afternoon,2h,No
manage,employee,general_contractor,morning|noon|afternoon|evening|nighttime,2h,Yes
order,material,general_contractor,morning|noon|afternoon,30m1h,Yes
oversee,construction_worker,general_contractor,morning|noon|afternoon|evening|nighttime,2h,Yes
pay,bill,general_contractor,morning|noon|afternoon|evening,15m30m,Yes
